lat,lon
30.301971796,121.299152384
30.301975585,121.299154618
30.301932269,121.299119797
30.301935794,121.29912182
30.301939322,121.299123848
30.301942855,121.299125881
30.301946392,121.29912792
30.301949934,121.299129963
30.30195348,121.299132011
30.30195703,121.299134064
30.301960585,121.299136121
30.301964145,121.299138183
30.30196771,121.29914025
30.301971279,121.299142322
30.301974854,121.299144398
30.301978433,121.299146479
30.301982018,121.299148565
30.301985607,121.299150656
30.301989201,121.299152752
30.301992801,121.299154852
30.301996405,121.299156957
30.302000014,121.299159067
30.302003628,121.299161182
30.302007246,121.299163302
30.302010869,121.299165428
30.302014497,121.299167558
30.30201813,121.299169693
30.302021767,121.299171833
30.302025409,121.299173979
30.302029055,121.29917613
30.302032705,121.299178287
30.302036361,121.299180449
30.30204002,121.299182617
30.302043684,121.299184791
30.302047353,121.299186971
30.302051026,121.299189156
30.302054704,121.299191347
30.302058387,121.299193543
30.302062074,121.299195746
30.302065766,121.299197954
30.302069462,121.299200167
30.302073164,121.299202387
30.30207687,121.299204611
30.302080581,121.299206841
30.302084298,121.299209077
30.302088019,121.299211319
30.302091745,121.299213566
30.302095475,121.299215818
30.302099211,121.299218076
30.302102952,121.299220339
30.302106697,121.299222607
30.302110448,121.299224882
30.302062447,121.299186886
30.302065907,121.299188939
30.302069371,121.299190996
30.302072839,121.299193059
30.302076312,121.299195127
30.30207979,121.2991972
30.302083272,121.299199278
30.302086758,121.299201361
30.30209025,121.299203449
30.302093747,121.299205542
30.302097248,121.29920764
30.302100755,121.299209743
30.302104266,121.299211852
30.302107782,121.299213965
30.302111304,121.299216084
30.30211483,121.299218208
30.302118361,121.299220338
30.302121898,121.299222472
30.302125439,121.299224612
30.302128985,121.299226757
30.302132537,121.299228908
30.302136093,121.299231064
30.302139654,121.299233226
30.302143221,121.299235392
30.302146792,121.299237563
30.302150369,121.29923974
30.302153951,121.299241922
30.302157538,121.29924411
30.30216113,121.299246303
30.302164728,121.299248501
30.302168331,121.299250705
30.30217194,121.299252914
30.302175554,121.299255129
30.302179174,121.299257348
30.3021828,121.299259572
30.302186431,121.299261801
30.302190068,121.299264035
30.302193711,121.299266272
30.302197359,121.299268515
30.302201012,121.299270761
30.30220467,121.299273012
30.302208334,121.299275267
30.302212003,121.299277527
30.302215677,121.29927979
30.302219356,121.299282058
30.302223041,121.299284331
30.30222673,121.29928661
30.302230424,121.299288893
30.302234123,121.299291182
30.302237828,121.299293475
30.302187807,121.299253597
30.302191213,121.299255666
30.302194624,121.299257739
30.30219804,121.299259817
30.30220146,121.2992619
30.302204885,121.299263989
30.302208315,121.299266083
30.30221175,121.299268183
30.30221519,121.299270289
30.302218635,121.2992724
30.302222084,121.299274516
30.302225539,121.299276638
30.302228998,121.299278766
30.302232462,121.2992809
30.30223593,121.299283039
30.302239404,121.299285183
30.302242882,121.299287333
30.302246365,121.299289487
30.302249852,121.299291647
30.302253345,121.299293812
30.302256842,121.299295982
30.302260344,121.299298158
30.30226385,121.299300339
30.302267361,121.299302525
30.302270876,121.299304717
30.302274396,121.299306914
30.302277921,121.299309116
30.302281451,121.299311323
30.302284986,121.299313535
30.302288525,121.299315753
30.30229207,121.299317976
30.302295619,121.299320204
30.302299174,121.299322438
30.302302734,121.299324677
30.302306298,121.299326922
30.302309868,121.299329172
30.302313442,121.299331428
30.302317022,121.29933369
30.302320607,121.299335957
30.302324196,121.29933823
30.302327791,121.299340508
30.30233139,121.299342792
30.302334995,121.299345081
30.302338604,121.299347376
30.302342218,121.299349677
30.302345838,121.299351982
30.302310382,121.299319973
30.30231373,121.299322072
30.302317083,121.299324176
30.30232044,121.299326284
30.302323801,121.299328398
30.302327167,121.299330515
30.302330537,121.299332637
30.302333912,121.299334764
30.302337291,121.299336896
30.302340675,121.299339031
30.302344064,121.299341171
30.302347457,121.299343316
30.302350855,121.299345465
30.302354258,121.299347618
30.302357665,121.299349775
30.302361077,121.299351937
30.302364493,121.299354104
30.302367914,121.299356275
30.30237134,121.29935845
30.302374771,121.29936063
30.302378206,121.299362815
30.302381646,121.299365004
30.302385091,121.299367199
30.30238854,121.299369397
30.302391994,121.299371601
30.302395453,121.299373809
30.302398916,121.299376022
30.302402385,121.299378239
30.302405858,121.299380462
30.302409336,121.29938269
30.30241282,121.299384922
30.302416308,121.29938716
30.3024198,121.299389402
30.302423298,121.299391649
30.3024268,121.299393902
30.302430307,121.299396159
30.302433819,121.299398421
30.302437335,121.299400688
30.302440857,121.29940296
30.302444383,121.299405237
30.302447915,121.29940752
30.302451451,121.299409808
