lat,lon
30.301086173,121.298683432
30.301089175,121.298685076
30.301081682,121.298682714
30.301084628,121.29868434
30.301087576,121.298685968
30.301090527,121.298687599
30.301093479,121.298689231
30.301096433,121.298690865
30.301099389,121.2986925
30.301102346,121.298694138
30.301105306,121.298695777
30.301108268,121.298697419
30.301111231,121.298699062
30.301114196,121.298700708
30.301117162,121.298702355
30.30112013,121.298704004
30.301123099,121.298705654
30.30112607,121.298707305
30.301129041,121.298708959
30.301132014,121.298710615
30.301134989,121.298712272
30.301137965,121.298713931
30.301140943,121.298715592
30.301143922,121.298717254
30.301146903,121.298718918
30.301149884,121.298720583
30.301152867,121.298722249
30.301155851,121.298723916
30.301158836,121.298725585
30.301161823,121.298727256
30.301164811,121.298728928
30.3011678,121.298730602
30.301170791,121.298732278
30.301173782,121.298733955
30.301176775,121.298735633
30.30117977,121.298737313
30.301182765,121.298738995
30.301185762,121.298740678
30.30118876,121.298742364
30.301191759,121.29874405
30.301194759,121.298745739
30.301197761,121.298747429
30.301200763,121.29874912
30.301203767,121.298750814
30.301206773,121.298752508
30.301209779,121.298754205
30.301212786,121.298755903
30.301215795,121.298757602
30.301218805,121.298759304
30.301221817,121.298761006
30.30122483,121.298762711
30.301227844,121.298764417
30.301219665,121.298759778
30.30122262,121.298761453
30.301225577,121.298763129
30.301228536,121.298764807
30.301231495,121.298766486
30.301234457,121.298768167
30.301237419,121.29876985
30.301240383,121.298771535
30.301243349,121.298773221
30.301246316,121.298774908
30.301249284,121.298776597
30.301252254,121.298778288
30.301255226,121.298779979
30.301258199,121.298781672
30.301261174,121.298783367
30.301264151,121.298785062
30.301267129,121.298786759
30.301270109,121.298788457
30.301273091,121.298790155
30.301276075,121.298791855
30.301279061,121.298793555
30.301282049,121.298795257
30.301285038,121.298796959
30.30128803,121.298798663
30.301291023,121.298800367
30.301294019,121.298802071
30.301297017,121.298803777
30.301300017,121.298805483
30.301303019,121.29880719
30.301306024,121.298808897
30.301309031,121.298810606
30.30131204,121.298812315
30.301315051,121.298814025
